graph,algorithm,n_candidates,n_infected,external,reliable,n_runs,auc_roc,auc_pr,precision_at_k,recall_at_k,hits_at_k,brier
DLG6,degree_anomaly,585,210,False,True,15,0.46310556571883044,0.34945283290339724,0.3416148231710456,0.3416148231710456,0.3416148231710456,0.31994810322026
DLG6,boundary,585,210,False,True,15,0.6287278137292893,0.5529227141456852,0.442385095419361,0.442385095419361,0.442385095419361,0.685733070348455
DLG6,low_job_connectivity,585,210,False,True,15,0.5425733157490993,0.5362180590015734,0.4208720744507265,0.4208720744507265,0.4208720744507265,0.23626540786379527
DLG6,completeness,585,210,False,True,15,0.5412670143456035,0.3974063834799788,0.3892195920717057,0.3892195920717057,0.3892195920717057,0.32634493595158653
DLG6,rule_root,585,210,False,True,15,0.6303380838142265,0.43623295206732177,0.47170978244722167,0.47170978244722167,0.47170978244722167,0.3993425378040763
DLG6,RandomForest,585,210,False,True,15,0.7437006706615207,0.70946157658823,0.5894428873139904,0.5894428873139904,0.5894428873139904,0.19421074460191015
DLG6,RUSBoost,585,210,False,True,15,0.6478475035633663,0.5032795644533717,0.4702230241160349,0.4702230241160349,0.4702230241160349,0.2080251024910916
DLG6,LightGBM,585,210,False,True,15,0.7389893775659846,0.7061312730728445,0.5936113756180014,0.5936113756180014,0.5936113756180014,0.23013217784166515
DLG6,LineageDetector,585,210,False,True,15,0.756120648168452,0.7109654451315178,0.6047470150739662,0.6047470150739662,0.6047470150739662,0.177213841792974
DLG10,degree_anomaly,215,80,False,True,15,0.4526900253771636,0.3687176007459101,0.377904318152246,0.377904318152246,0.377904318152246,0.33411907435840704
DLG10,boundary,215,80,False,True,15,0.596249875421993,0.5294116943830588,0.4815855617494715,0.4815855617494715,0.4815855617494715,0.7169946332737029
DLG10,low_job_connectivity,215,80,False,True,15,0.5203858905842786,0.5176459798994434,0.4313766386789998,0.4313766386789998,0.4313766386789998,0.23964841155370592
DLG10,completeness,215,80,False,True,15,0.45328877971426834,0.3728545058567268,0.3107952679042864,0.3107952679042864,0.3107952679042864,0.36875799445234
DLG10,rule_root,215,80,False,True,15,0.5914113400065825,0.4261832376405321,0.4346489301339632,0.4346489301339632,0.4346489301339632,0.4597495527728086
DLG10,RandomForest,215,80,False,True,15,0.7309953676280879,0.6997447250438183,0.5844279882810055,0.5844279882810055,0.5844279882810055,0.20301086443087396
DLG10,RUSBoost,215,80,False,True,15,0.6465965332610378,0.5448398442320581,0.5039052879755617,0.5039052879755617,0.5039052879755617,0.21238151559691779
DLG10,LightGBM,215,80,False,True,15,0.7304468219936745,0.7069437779732799,0.5800726091194207,0.5800726091194207,0.5800726091194207,0.22305351320124686
DLG10,LineageDetector,215,80,False,True,15,0.7415985983588725,0.7049707230962607,0.5836905983796518,0.5836905983796518,0.5836905983796518,0.18712539355416263
DLG12,degree_anomaly,202,61,False,True,15,0.41608130641975205,0.2867727502794736,0.2717653502077867,0.2717653502077867,0.2717653502077867,0.27759834129953
DLG12,boundary,202,61,False,True,15,0.6001197096414933,0.4771166088863368,0.4409312951454287,0.4409312951454287,0.4409312951454287,0.7029702970297029
DLG12,low_job_connectivity,202,61,False,True,15,0.5708301260370863,0.48388702410273904,0.4526348694659896,0.4526348694659896,0.4526348694659896,0.21434975181800547
DLG12,completeness,202,61,False,True,15,0.5139590809362987,0.3344919943010768,0.3148860170865259,0.3148860170865259,0.3148860170865259,0.2891810783047772
DLG12,rule_root,202,61,False,True,15,0.5402910924494095,0.3196501976590508,0.348411712379428,0.348411712379428,0.348411712379428,0.5304645849200305
DLG12,RandomForest,202,61,False,True,15,0.7449303047187948,0.6336394553559701,0.511055455379044,0.511055455379044,0.511055455379044,0.1868747252713207
DLG12,RUSBoost,202,61,False,True,15,0.6294276373430221,0.40926541928145627,0.43324294552214443,0.43324294552214443,0.43324294552214443,0.21656452278729565
DLG12,LightGBM,202,61,False,True,15,0.7536490118724669,0.65295172496329,0.5554132918212047,0.5554132918212047,0.5554132918212047,0.21113378411984426
DLG12,LineageDetector,202,61,False,True,15,0.7520344572656825,0.6458856557958765,0.5416476960942851,0.5416476960942851,0.5416476960942851,0.16720640128799852
DLG16,degree_anomaly,259,103,False,True,15,0.4732379683914847,0.4012349094326665,0.3939704863984513,0.3939704863984513,0.3939704863984513,0.353276142753935
DLG16,boundary,259,103,False,True,15,0.6392390198851114,0.5672388279248283,0.5537210863776028,0.5537210863776028,0.5537210863776028,0.5966735966735967
DLG16,low_job_connectivity,259,103,False,True,15,0.5074662018671217,0.529900158438041,0.42464461466913644,0.42464461466913644,0.42464461466913644,0.2514534782325556
DLG16,completeness,259,103,False,True,15,0.585618883222085,0.4913529832222214,0.4696019235396115,0.4696019235396115,0.4696019235396115,0.3360975586320651
DLG16,rule_root,259,103,False,True,15,0.6319152012325906,0.4817327630853143,0.5075444340269731,0.5075444340269731,0.5075444340269731,0.3771903771903772
DLG16,RandomForest,259,103,False,True,15,0.7038162582060505,0.6895158495358816,0.577094483696315,0.577094483696315,0.577094483696315,0.2232243789390377
DLG16,RUSBoost,259,103,False,True,15,0.6158852148155943,0.5077820616439381,0.5009964865713105,0.5009964865713105,0.5009964865713105,0.23317050864155997
DLG16,LightGBM,259,103,False,True,15,0.6968307036343835,0.6941287864630271,0.5777776801274352,0.5777776801274352,0.5777776801274352,0.2637760326441476
DLG16,LineageDetector,259,103,False,True,15,0.7183306696671321,0.6953991750558216,0.5972596806827549,0.5972596806827549,0.5972596806827549,0.20674904362620872
DLG18,degree_anomaly,643,238,False,True,15,0.4600354992588083,0.35483312481332524,0.34747661837717503,0.34747661837717503,0.34747661837717503,0.3304999879392487
DLG18,boundary,643,238,False,True,15,0.605233716415324,0.5105557845758242,0.4419424203796329,0.4419424203796329,0.4419424203796329,0.6232802966862063
DLG18,low_job_connectivity,643,238,False,True,15,0.5337610914058505,0.4984764182727183,0.45203417567755844,0.45203417567755844,0.45203417567755844,0.23660200729582945
