algorithm,auc_roc_mean,auc_pr_mean,precision_at_k_mean,recall_at_k_mean,hits_at_k_mean,brier_mean,auc_roc_std,auc_pr_std,precision_at_k_std,recall_at_k_std,hits_at_k_std,brier_std,n_graphs
degree_anomaly,0.4267,0.1654,0.1422,0.1422,0.1422,0.1336,0.0446,0.0518,0.0703,0.0703,0.0703,0.026,8
boundary,0.4548,0.1372,0.1459,0.1459,0.1459,0.7451,0.0458,0.0281,0.0378,0.0378,0.0378,0.0884,8
low_job_connectivity,0.3242,0.1118,0.0935,0.0935,0.0935,0.2265,0.0693,0.0258,0.0551,0.0551,0.0551,0.0158,8
rule_root,0.5739,0.1677,0.18,0.18,0.18,0.4691,0.0622,0.025,0.1202,0.1202,0.1202,0.0712,8
completeness,0.5593,0.2061,0.2399,0.2399,0.2399,0.1444,0.0648,0.0597,0.1268,0.1268,0.1268,0.0262,8
RandomForest,0.7486,0.4251,0.3796,0.3796,0.3796,0.1173,0.064,0.0851,0.1312,0.1312,0.1312,0.0244,8
RUSBoost,0.6306,0.2493,0.3404,0.3404,0.3404,0.1521,0.0398,0.036,0.0609,0.0609,0.0609,0.0482,8
LightGBM,0.7198,0.3815,0.3982,0.3982,0.3982,0.1472,0.0765,0.065,0.0591,0.0591,0.0591,0.0217,8
LineageDetector,0.7706,0.4351,0.443,0.443,0.443,0.1061,0.0558,0.0486,0.0679,0.0679,0.0679,0.0198,8
