graph,scenario,nodes,train_pos,val_pos,test_pos,algorithm,n_runs,reliable,auc_roc,auc_pr,hits_at_k,precision,recall,f1,threshold
DLG1,A,298,17,4,3,preferential_attachment,5,False,0.3444444444444444,0.19199134199134202,0.4444444444444444,0.0,0.0,0.0,
DLG1,A,298,17,4,3,l3,5,False,0.43333333333333335,0.16666666666666666,1.0,0.16666666666666666,1.0,0.2857142857142857,
DLG1,A,298,17,4,3,katz,5,False,0.41111111111111115,0.16666666666666666,1.0,0.16666666666666666,1.0,0.2857142857142857,
DLG1,A,298,17,4,3,ppr,5,False,0.11851851851851851,0.13553113553113555,0.0,0.023809523809523808,0.1111111111111111,0.0392156862745098,
DLG1,A,298,17,4,3,RandomForest,5,False,0.3,0.16666666666666666,0.8888888888888888,0.16666666666666666,1.0,0.2857142857142857,
DLG1,A,298,17,4,3,RUSBoost,5,False,0.3444444444444445,0.16666666666666666,0.7777777777777777,0.1111111111111111,0.6666666666666666,0.19047619047619047,
DLG1,A,298,17,4,3,LightGBM,5,False,0.17407407407407408,0.17487291212781408,0.1111111111111111,0.0,0.0,0.0,
DLG1,A,298,17,4,3,Node2Vec+MLP,5,False,0.562962962962963,0.25467171717171716,0.5555555555555555,0.1866013071895425,0.4444444444444444,0.26931216931216934,
DLG1,B,298,18,4,2,preferential_attachment,5,False,0.325,0.16707551707551707,0.8333333333333334,0.13097643097643097,0.6666666666666666,0.21872571872571875,
DLG1,B,298,18,4,2,l3,5,False,0.375,0.16666666666666666,1.0,0.16666666666666666,1.0,0.2857142857142857,
DLG1,B,298,18,4,2,katz,5,False,0.3333333333333333,0.16666666666666666,1.0,0.16666666666666666,1.0,0.2857142857142857,
DLG1,B,298,18,4,2,ppr,5,False,0.1583333333333333,0.17609427609427608,0.8333333333333334,0.16666666666666666,1.0,0.2857142857142857,
DLG1,B,298,18,4,2,RandomForest,5,False,0.43333333333333335,0.1722222222222222,1.0,0.16666666666666666,1.0,0.2857142857142857,
DLG1,B,298,18,4,2,RUSBoost,5,False,0.7,0.3125,1.0,0.16666666666666666,1.0,0.2857142857142857,
DLG1,B,298,18,4,2,LightGBM,5,False,0.6499999999999999,0.41203703703703703,1.0,0.17777777777777778,1.0,0.30158730158730157,
DLG1,B,298,18,4,2,Node2Vec+MLP,5,False,0.44166666666666665,0.2221019721019721,0.8333333333333334,0.1272727272727273,0.3333333333333333,0.1978021978021978,
DLG1,C,298,14,3,7,preferential_attachment,5,False,0.5217687074829932,0.18562945020770086,0.19047619047619047,0.125,0.5238095238095238,0.20276497695852536,
DLG1,C,298,14,3,7,l3,5,False,0.40952380952380957,0.16666666666666666,0.5238095238095238,0.16666666666666666,1.0,0.2857142857142857,
DLG1,C,298,14,3,7,katz,5,False,0.32857142857142857,0.16666666666666666,0.047619047619047616,0.16666666666666666,1.0,0.2857142857142857,
DLG1,C,298,14,3,7,ppr,5,False,0.4734693877551021,0.17231718409168276,0.0,0.16666666666666666,1.0,0.2857142857142857,
DLG1,C,298,14,3,7,RandomForest,5,False,0.32857142857142857,0.16666666666666666,0.0,0.16666666666666666,1.0,0.2857142857142857,
DLG1,C,298,14,3,7,RUSBoost,5,False,0.3081632653061225,0.16666666666666666,0.14285714285714285,0.047619047619047616,0.19047619047619047,0.07619047619047618,
DLG1,C,298,14,3,7,LightGBM,5,False,0.21428571428571427,0.1284594438292582,0.0,0.017543859649122806,0.047619047619047616,0.025641025641025644,
DLG1,C,298,14,3,7,Node2Vec+MLP,5,False,0.3959183673469388,0.15840633701506193,0.14285714285714285,0.13554175293305729,0.3333333333333333,0.1987012987012987,
DLG2,A,464,26,7,4,preferential_attachment,5,False,0.2791666666666666,0.14703130795808142,0.16666666666666666,0.08838383838383838,0.25,0.13055555555555554,
DLG2,A,464,26,7,4,l3,5,False,0.45,0.16666666666666666,1.0,0.0,0.0,0.0,
DLG2,A,464,26,7,4,katz,5,False,0.4375,0.16666666666666666,1.0,0.05555555555555555,0.3333333333333333,0.09523809523809523,
DLG2,A,464,26,7,4,ppr,5,False,0.3354166666666667,0.16947751322751323,0.16666666666666666,0.041666666666666664,0.16666666666666666,0.06666666666666667,
DLG2,A,464,26,7,4,RandomForest,5,False,0.4125,0.16666666666666666,1.0,0.0,0.0,0.0,
DLG2,A,464,26,7,4,RUSBoost,5,False,0.36875,0.15544871794871795,1.0,0.16666666666666666,1.0,0.2857142857142857,
DLG2,A,464,26,7,4,LightGBM,5,False,0.10000000000000002,0.12250541855805012,0.0,0.0,0.0,0.0,
DLG2,A,464,26,7,4,Node2Vec+MLP,5,False,0.4208333333333334,0.18806600055169845,0.3333333333333333,0.15873015873015872,0.25,0.19393939393939394,
DLG2,B,464,26,7,4,preferential_attachment,5,False,0.6104166666666667,0.24522713125654302,0.5,0.16666666666666666,1.0,0.2857142857142857,
DLG2,B,464,26,7,4,l3,5,False,0.6,0.24861111111111112,1.0,0.16666666666666666,1.0,0.2857142857142857,
DLG2,B,464,26,7,4,katz,5,False,0.5854166666666666,0.25,1.0,0.16666666666666666,1.0,0.2857142857142857,
DLG2,B,464,26,7,4,ppr,5,False,0.6333333333333333,0.2732467967762085,0.5,0.22777777777777777,0.9166666666666666,0.3605889724310776,
DLG2,B,464,26,7,4,RandomForest,5,False,0.5812499999999999,0.24206349206349206,1.0,0.19444444444444442,0.6666666666666666,0.2738095238095238,
DLG2,B,464,26,7,4,RUSBoost,5,False,0.7,0.28468614718614715,0.9166666666666666,0.23232323232323235,1.0,0.3386243386243386,
DLG2,B,464,26,7,4,LightGBM,5,False,0.7458333333333335,0.3744264994264994,0.6666666666666666,0.23208020050125314,0.8333333333333334,0.33591958229639385,
DLG2,B,464,26,7,4,Node2Vec+MLP,5,False,0.7083333333333334,0.3360900673400673,0.75,0.28803418803418807,0.5833333333333334,0.3716153127917834,
DLG2,C,464,23,6,8,preferential_attachment,5,False,0.4302083333333333,0.20561227596809073,0.25,0.18282828282828287,0.25,0.22017543859649122,
DLG2,C,464,23,6,8,l3,5,False,0.4375,0.16666666666666666,0.625,0.16666666666666666,1.0,0.2857142857142857,
DLG2,C,464,23,6,8,katz,5,False,0.4041666666666666,0.16666666666666666,0.2916666666666667,0.16666666666666666,1.0,0.2857142857142857,
DLG2,C,464,23,6,8,ppr,5,False,0.2984375,0.14851200880222978,0.041666666666666664,0.0767094017094017,0.20833333333333334,0.11186974789915966,
DLG2,C,464,23,6,8,RandomForest,5,False,0.37083333333333335,0.16666666666666666,0.041666666666666664,0.1111111111111111,0.6666666666666666,0.19047619047619047,
