graph,algorithm,n_candidates,n_infected,n_train_graphs,reliable,n_runs,auc_roc,auc_pr,precision_at_k,recall_at_k,hits_at_k
DLG6,degree_anomaly,541,140,13,True,3,0.44621116708648195,0.24804240357180093,0.22916666666666666,0.22916666666666666,0.22916666666666666
DLG6,boundary,541,140,13,True,3,0.46888414139615847,0.2591761794395879,0.22916666666666666,0.22916666666666666,0.22916666666666666
DLG6,low_job_connectivity,541,140,13,True,3,0.30700452989931365,0.20332193447114072,0.14388489208633093,0.14388489208633093,0.14388489208633093
DLG6,RandomForest,541,140,13,True,3,0.6574219843268961,0.4192065472844828,0.4305555555555556,0.4305555555555556,0.4305555555555556
DLG6,RUSBoost,541,140,13,True,3,0.6692525874861468,0.3756086780129271,0.45323741007194246,0.45323741007194246,0.45323741007194246
DLG6,LightGBM,541,140,13,True,3,0.6316044547306787,0.38601974707382447,0.41605839416058393,0.41605839416058393,0.41605839416058393
DLG10,degree_anomaly,200,53,13,True,3,0.378599169679925,0.23903980593811847,0.24561403508771928,0.24561403508771928,0.24561403508771928
DLG10,boundary,200,53,13,True,3,0.44817195660907994,0.26834946561806816,0.22807017543859648,0.22807017543859648,0.22807017543859648
DLG10,low_job_connectivity,200,53,13,True,3,0.34759608946029197,0.2456621197979238,0.22807017543859648,0.22807017543859648,0.22807017543859648
DLG10,RandomForest,200,53,13,True,3,0.6284900284900286,0.4202115433926123,0.40350877192982454,0.40350877192982454,0.40350877192982454
DLG10,RUSBoost,200,53,13,True,3,0.5929422793625284,0.33755530129672007,0.40350877192982454,0.40350877192982454,0.40350877192982454
DLG10,LightGBM,200,53,13,True,3,0.6007767510379001,0.4207374968941684,0.4,0.4,0.4
DLG12,degree_anomaly,185,39,13,True,3,0.3957922419460881,0.2253419739445641,0.21153846153846154,0.21153846153846154,0.21153846153846154
DLG12,boundary,185,39,13,True,3,0.4345383986928104,0.17033669614314775,0.125,0.125,0.125
DLG12,low_job_connectivity,185,39,13,True,3,0.4184027777777778,0.1653521577660545,0.22857142857142856,0.22857142857142856,0.22857142857142856
DLG12,RandomForest,185,39,13,True,3,0.7404003267973855,0.3700893807220291,0.375,0.375,0.375
DLG12,RUSBoost,185,39,13,True,3,0.5728139381985535,0.23811936936936937,0.34375,0.34375,0.34375
DLG12,LightGBM,185,39,13,True,3,0.7197729422894986,0.3392268012491709,0.36538461538461536,0.36538461538461536,0.36538461538461536
DLG16,degree_anomaly,236,74,13,True,3,0.4595744680851064,0.31831947385428244,0.3194444444444444,0.3194444444444444,0.3194444444444444
DLG16,boundary,236,74,13,True,3,0.5266166040884439,0.32405200886324675,0.4235294117647059,0.4235294117647059,0.4235294117647059
DLG16,low_job_connectivity,236,74,13,True,3,0.34175613162258883,0.22907860437210437,0.23880597014925373,0.23880597014925373,0.23880597014925373
DLG16,RandomForest,236,74,13,True,3,0.5848577235772358,0.3938829601853025,0.417910447761194,0.417910447761194,0.417910447761194
DLG16,RUSBoost,236,74,13,True,3,0.6393034825870648,0.4372452263462776,0.49411764705882355,0.49411764705882355,0.49411764705882355
DLG16,LightGBM,236,74,13,True,3,0.5922403003754694,0.44754854496054863,0.47058823529411764,0.47058823529411764,0.47058823529411764
DLG18,degree_anomaly,595,186,13,True,3,0.4436907295113221,0.28847095190855054,0.28708133971291866,0.28708133971291866,0.28708133971291866
DLG18,boundary,595,186,13,True,3,0.5125951710311066,0.30716989926809135,0.2822966507177033,0.2822966507177033,0.2822966507177033
DLG18,low_job_connectivity,595,186,13,True,3,0.41556684419625833,0.2667508283142176,0.31976744186046513,0.31976744186046513,0.31976744186046513
DLG18,RandomForest,595,186,13,True,3,0.5509923580185827,0.3723015149553527,0.37640449438202245,0.37640449438202245,0.37640449438202245
DLG18,RUSBoost,595,186,13,True,3,0.5864565011500473,0.36858989964714867,0.43820224719101125,0.43820224719101125,0.43820224719101125
DLG18,LightGBM,595,186,13,True,3,0.5341385714812856,0.37026204983790795,0.38372093023255816,0.38372093023255816,0.38372093023255816
