graph,algorithm,n_candidates,n_infected,external,reliable,n_runs,auc_roc,auc_pr,precision_at_k,recall_at_k,hits_at_k,brier
DLG6,degree_anomaly,512,187,False,True,20,0.43705738942287353,0.3535716167156985,0.3524076396876858,0.3524076396876858,0.3524076396876858,0.3488578346626338
DLG6,boundary,512,187,False,True,20,0.4734912935367719,0.3766562598744188,0.31702647107587745,0.31702647107587745,0.31702647107587745,0.5943394250981122
DLG6,low_job_connectivity,512,187,False,True,20,0.36103149980386195,0.3269029522385551,0.2970073120297295,0.2970073120297295,0.2970073120297295,0.288438880768837
DLG6,completeness,512,187,False,True,20,0.6030001966783232,0.4694002043295648,0.4574247844952293,0.4574247844952293,0.4574247844952293,0.32947551520089935
DLG6,rule_root,512,187,False,True,20,0.5888346324815826,0.43884335609508507,0.46698314414445924,0.46698314414445924,0.46698314414445924,0.4243155743272591
DLG6,RandomForest,512,187,False,True,20,0.6198411524161823,0.5411005426134426,0.49136257436850744,0.49136257436850744,0.49136257436850744,0.2652074216777771
DLG6,RUSBoost,512,187,False,True,20,0.6030714024677326,0.4843772902673991,0.4501307615424505,0.4501307615424505,0.4501307615424505,0.252596102658202
DLG6,LightGBM,512,187,False,True,20,0.6069478131020402,0.5393146336608974,0.4857854389906444,0.4857854389906444,0.4857854389906444,0.3070355450018609
DLG6,LineageDetector,512,187,False,True,20,0.6297732950279052,0.5476415411014732,0.4982247787020968,0.4982247787020968,0.4982247787020968,0.23738202994027846
DLG10,degree_anomaly,186,68,False,True,20,0.4004610357515353,0.3563567296620996,0.368212179606117,0.368212179606117,0.368212179606117,0.34644301735305105
DLG10,boundary,186,68,False,True,20,0.44555137980419324,0.3611093174968459,0.3390247511103885,0.3390247511103885,0.3390247511103885,0.6391939683767431
DLG10,low_job_connectivity,186,68,False,True,20,0.3496945722229501,0.3217769807102273,0.3045686460562609,0.3045686460562609,0.3045686460562609,0.2848871224539307
DLG10,completeness,186,68,False,True,20,0.488039808500897,0.4070545539144163,0.3486463523370895,0.3486463523370895,0.3486463523370895,0.3628219683330984
DLG10,rule_root,186,68,False,True,20,0.5420331375384041,0.40710533945690386,0.41207016565274546,0.41207016565274546,0.41207016565274546,0.49730410087615506
DLG10,RandomForest,186,68,False,True,20,0.6270398024241299,0.553918029109705,0.48358606308316293,0.48358606308316293,0.48358606308316293,0.2556742806640955
DLG10,RUSBoost,186,68,False,True,20,0.5853661538324277,0.4874426540231942,0.47282611858571066,0.47282611858571066,0.47282611858571066,0.25822427710801793
DLG10,LightGBM,186,68,False,True,20,0.6166401607740177,0.5532846183344562,0.4954833568897718,0.4954833568897718,0.4954833568897718,0.2846103431351803
DLG10,LineageDetector,186,68,False,True,20,0.6239585185843765,0.5531110928707952,0.47762344183460503,0.47762344183460503,0.47762344183460503,0.23751459674555303
DLG12,degree_anomaly,178,64,False,True,20,0.4193821137194044,0.3470807394157532,0.3363007998104393,0.3363007998104393,0.3363007998104393,0.3426944658129866
DLG12,boundary,178,64,False,True,20,0.48080556855798817,0.3678598573931651,0.3947234059919304,0.3947234059919304,0.3947234059919304,0.5945450468072329
DLG12,low_job_connectivity,178,64,False,True,20,0.4634195463371825,0.3666512462809171,0.3979561297205351,0.3979561297205351,0.3979561297205351,0.26018863979313817
DLG12,completeness,178,64,False,True,20,0.5381392716972043,0.42577674304662483,0.4151837890028468,0.4151837890028468,0.4151837890028468,0.34167129585089584
DLG12,rule_root,178,64,False,True,20,0.5219909639415812,0.3912299681754934,0.4167555765323878,0.4167555765323878,0.4167555765323878,0.5145960111148884
DLG12,RandomForest,178,64,False,True,20,0.6127982383568809,0.5146725620796674,0.4941334507188518,0.4941334507188518,0.4941334507188518,0.26448627849681994
DLG12,RUSBoost,178,64,False,True,20,0.5725165315457479,0.4374782832547369,0.450860817199912,0.450860817199912,0.450860817199912,0.27696555107994153
DLG12,LightGBM,178,64,False,True,20,0.6028970906711959,0.5153202473661903,0.47792251243058775,0.47792251243058775,0.47792251243058775,0.2981622757001745
DLG12,LineageDetector,178,64,False,True,20,0.607359129190379,0.508058170656749,0.48853691850517555,0.48853691850517555,0.48853691850517555,0.24377678788870272
DLG16,degree_anomaly,228,96,False,True,20,0.4425120790808885,0.39580630847657866,0.4230328252898634,0.4230328252898634,0.4230328252898634,0.3891660722880711
DLG16,boundary,228,96,False,True,20,0.5049713621210307,0.4399457246576949,0.4856279081095322,0.4856279081095322,0.4856279081095322,0.523913460466514
DLG16,low_job_connectivity,228,96,False,True,20,0.3433916303943512,0.3627177837402398,0.3182015147421195,0.3182015147421195,0.3182015147421195,0.3078474827211758
DLG16,completeness,228,96,False,True,20,0.6448671824933897,0.5822439639382277,0.558867099005116,0.558867099005116,0.558867099005116,0.3362055792569482
DLG16,rule_root,228,96,False,True,20,0.5805623616166041,0.48504542939305534,0.4998700574940345,0.4998700574940345,0.4998700574940345,0.42083131954803854
DLG16,RandomForest,228,96,False,True,20,0.6245237288059738,0.569819832674354,0.5349137054451168,0.5349137054451168,0.5349137054451168,0.27320621573414744
DLG16,RUSBoost,228,96,False,True,20,0.6104898164308548,0.5223169693120734,0.5630899414672715,0.5630899414672715,0.5630899414672715,0.27423276588102796
DLG16,LightGBM,228,96,False,True,20,0.60463950832291,0.5706446971910664,0.5247626816558194,0.5247626816558194,0.5247626816558194,0.3164721012066757
