w_intermediate,w_source,w_sink,w_isolated,graph,auc_roc,f1,auc_pr
8.0,1.0,1.0,0.5,DLG17,0.6719,0.6667,0.76
8.0,1.0,1.0,0.5,DLG18,0.5255,0.6667,0.5249
8.0,1.25,1.0,0.5,DLG1,0.52,0.6667,0.6333
8.0,1.25,1.0,0.5,DLG2,0.2245,0.6667,0.4177
8.0,1.25,1.0,0.5,DLG3,0.4132,0.6667,0.4561
8.0,1.25,1.0,0.5,DLG4,0.6389,0.75,0.5913
8.0,1.25,1.0,0.5,DLG5,0.3531,0.6667,0.4883
8.0,1.25,1.0,0.5,DLG6,0.5505,0.6667,0.5714
8.0,1.25,1.0,0.5,DLG7,0.4012,0.6667,0.5061
8.0,1.25,1.0,0.5,DLG8,0.3061,0.6667,0.4292
8.0,1.25,1.0,0.5,DLG9,0.3958,0.6667,0.5206
8.0,1.25,1.0,0.5,DLG10,0.5222,0.6135,0.5344
8.0,1.25,1.0,0.5,DLG11,0.3681,0.6667,0.4901
8.0,1.25,1.0,0.5,DLG12,0.5607,0.6667,0.5389
8.0,1.25,1.0,0.5,DLG13,0.4173,0.6667,0.5017
8.0,1.25,1.0,0.5,DLG14,0.4,0.5714,0.4867
8.0,1.25,1.0,0.5,DLG15,0.5547,0.5455,0.651
8.0,1.25,1.0,0.5,DLG16,0.539,0.6667,0.5872
8.0,1.25,1.0,0.5,DLG17,0.6797,0.6667,0.7555
8.0,1.25,1.0,0.5,DLG18,0.5278,0.6667,0.5291
8.0,1.5,1.0,0.5,DLG1,0.52,0.6667,0.6333
8.0,1.5,1.0,0.5,DLG2,0.2245,0.6667,0.4177
8.0,1.5,1.0,0.5,DLG3,0.4215,0.6667,0.5015
8.0,1.5,1.0,0.5,DLG4,0.6667,0.75,0.6052
8.0,1.5,1.0,0.5,DLG5,0.3527,0.6667,0.4864
8.0,1.5,1.0,0.5,DLG6,0.5499,0.6667,0.572
8.0,1.5,1.0,0.5,DLG7,0.3889,0.6667,0.4949
8.0,1.5,1.0,0.5,DLG8,0.3061,0.5556,0.4292
8.0,1.5,1.0,0.5,DLG9,0.3889,0.6667,0.5184
8.0,1.5,1.0,0.5,DLG10,0.5173,0.6142,0.5321
8.0,1.5,1.0,0.5,DLG11,0.3663,0.6667,0.4888
8.0,1.5,1.0,0.5,DLG12,0.5604,0.6667,0.5419
8.0,1.5,1.0,0.5,DLG13,0.4237,0.6667,0.5112
8.0,1.5,1.0,0.5,DLG14,0.4,0.5714,0.4867
8.0,1.5,1.0,0.5,DLG15,0.5391,0.5455,0.6391
8.0,1.5,1.0,0.5,DLG16,0.5423,0.6667,0.5918
8.0,1.5,1.0,0.5,DLG17,0.6719,0.2222,0.7555
8.0,1.5,1.0,0.5,DLG18,0.5287,0.6667,0.5319
8.0,2.0,1.0,0.5,DLG1,0.52,0.6667,0.6333
8.0,2.0,1.0,0.5,DLG2,0.2653,0.6667,0.4381
8.0,2.0,1.0,0.5,DLG3,0.4215,0.6667,0.5078
8.0,2.0,1.0,0.5,DLG4,0.6667,0.75,0.6052
8.0,2.0,1.0,0.5,DLG5,0.3518,0.6667,0.4879
8.0,2.0,1.0,0.5,DLG6,0.5484,0.6667,0.5738
8.0,2.0,1.0,0.5,DLG7,0.3889,0.6667,0.4949
8.0,2.0,1.0,0.5,DLG8,0.3061,0.4706,0.4292
8.0,2.0,1.0,0.5,DLG9,0.4028,0.6667,0.5234
8.0,2.0,1.0,0.5,DLG10,0.5144,0.6047,0.5321
8.0,2.0,1.0,0.5,DLG11,0.3776,0.6667,0.4976
8.0,2.0,1.0,0.5,DLG12,0.5566,0.6667,0.5449
8.0,2.0,1.0,0.5,DLG13,0.4258,0.6667,0.5156
8.0,2.0,1.0,0.5,DLG14,0.4,0.5714,0.4867
8.0,2.0,1.0,0.5,DLG15,0.5391,0.5455,0.6391
8.0,2.0,1.0,0.5,DLG16,0.5476,0.6667,0.6005
8.0,2.0,1.0,0.5,DLG17,0.625,0.2222,0.6973
8.0,2.0,1.0,0.5,DLG18,0.5313,0.6667,0.5375
1.0,1.0,1.0,0.5,DLG1,0.56,0.6667,0.6533
1.0,1.0,1.0,0.5,DLG2,0.1939,0.6667,0.4266
1.0,1.0,1.0,0.5,DLG3,0.4793,0.6667,0.5378
1.0,1.0,1.0,0.5,DLG4,0.5694,0.7059,0.5617
1.0,1.0,1.0,0.5,DLG5,0.4392,0.6667,0.5533
1.0,1.0,1.0,0.5,DLG6,0.6143,0.6667,0.648
1.0,1.0,1.0,0.5,DLG7,0.5185,0.6667,0.614
1.0,1.0,1.0,0.5,DLG8,0.2551,0.6667,0.4018
1.0,1.0,1.0,0.5,DLG9,0.3819,0.6667,0.4655
1.0,1.0,1.0,0.5,DLG10,0.5894,0.5759,0.5686
1.0,1.0,1.0,0.5,DLG11,0.3377,0.6667,0.4638
1.0,1.0,1.0,0.5,DLG12,0.6379,0.6667,0.6181
1.0,1.0,1.0,0.5,DLG13,0.4237,0.6667,0.5074
1.0,1.0,1.0,0.5,DLG14,0.48,0.5714,0.62
1.0,1.0,1.0,0.5,DLG15,0.5547,0.5714,0.6022
1.0,1.0,1.0,0.5,DLG16,0.5981,0.6667,0.6362
1.0,1.0,1.0,0.5,DLG17,0.5859,0.2222,0.6273
1.0,1.0,1.0,0.5,DLG18,0.6093,0.6667,0.6375
